index,명칭,행정 구,분류3,행정구 번호,카테고리 번호,상세주소,이미지 URL,소개
1,국립고궁박물관,종로구,박물관,1,4,서울 종로구 세종로 1-57,https://search1.kakaocdn.net/argon/130x130_85_c/D8p5VS1Q9md,"국립고궁박물관(國立古宮博物館, National Palace Museum of Korea)은 궁중유물의 연구·조사·수집·보관 및 전시에 관한 사무를 관장하는 대한민국 문화재청의 소속기관이다. 2005년 8월 16일 발족하였으며, 서울특별시 종로구 효자로 12(경복궁 내)에 위치하고 있다. 관장은 고위공무원단 나등급에 속하는 일반직공무원 또는 학예연구관으로 보한다.조선, 대한제국 시대의 왕실 복식 및 생활 관련 유물 약 40,000여 점을 소장·전시하고 있다.근처에 경복궁이 있다.(고궁박물관은 경복궁 내)"
2,대한민국역사박물관,종로구,박물관,1,4,서울 종로구 세종로 82-1,https://search1.kakaocdn.net/argon/130x130_85_c/H6jHumqnpPK,"대한민국역사박물관(大韓民國歷史博物館, National Museum of Korean Contemporary History)은 대한민국 근현대 역사자료의 수집·보존·조사·연구·전시·교육 및 교류에 관한 사무를 관장하는 대한민국 문화체육관광부의 소속기관이다. 2012년 3월 30일 발족하였으며, 서울특별시 종로구 세종대로 198에 위치하고 있다. 관장은 임기제공무원으로 보한다.
박물관은 대한민국의 역사를 시대별로 4개의 전시실로 나누어 설명하고 있다. 제1전시실에서는 '대한민국의 태동 1876년 ~ 1948년', 제2전시실에서는 '대한민국의 기초 확립 1948년~ 1961년', 제3전시실에서는 '대한민국의 성장과 발전 1961년 ~ 1987년', 그리고 제4전시실에서는 '대한민국의 선진화, 세계로의 도약 1987년 ~ '을 주제로 전시가 구성되어 있다.
'어린이 박물관'에서는 어린이가 직접 체험하면서 근현대사를 배울 수 있다. 또한 근현대사 전반에 걸친 다양한 주제의 특별전시를 통해 대한민국 근현대사에 대한 심층적인 내용을 살펴볼 수 있다. 박물관에서 다양한 교육프로그램과 문화행사도 운영하고 있다."
4,명인박물관,종로구,박물관,1,4,서울 종로구 가회동 208-7,https://search2.kakaocdn.net/argon/130x130_85_c/2YyNLUcZr1b,"경희대학교(慶熙大學校, Kyung Hee University)는 대한민국의 4년제 사립 종합대학으로 경희대학교에 의해 공식적으로 발표되지는 않았지만 1911년에 개교한 신흥무관학교(新興武官學校)의 후신으로 알려져 있다.신흥무관학교(新興武官學校)는 해방 후 1947년 서울특별시 종로구 수송동에 신흥무관학교의 역사와 전통을 계승한 신흥전문학원(新興專門學院)을 설립하였으며, 1949년에 배영대학관을 합병하여 2년제 신흥초급대학(新興初級大學)으로 설립을 가인가 받았다. 이후 1952년 2월, 정식 설립 인가를 받았고 그해 12월 4년제 신흥대학(新興大學)으로 전환하였다. 1955년에는 종합대학인 신흥대학교(新興大學校)로 승격되며 교사를 서울특별시 동대문구 회기동(現 경희대학교 서울캠퍼스)으로 이전한 후 1960년에 ‘신흥대학교’였던 교명을 ‘경희대학교’로 바꾸었다. 현재 경희대학교는 서울캠퍼스와 국제캠퍼스, 광릉캠퍼스, 홍릉캠퍼스의 4개 이원화 캠퍼스를 운영 중이며, 교내에 '후마니타스 칼리지(Humanitas College)'라는 교양대학을 두고 있다. 서울캠퍼스와 국제캠퍼스는 교육과학기술부로부터 통합 인가를 받았고, 광릉캠퍼스에는 대한민국 최초의 국제대학원인 '평화복지대학원'이, 홍릉캠퍼스에는 '파이데이아 홍릉(Paideia Hongneung)'이라는 시민대학(비학위과정)이 소재해 있다.
경희대학교의 자매 대학으로는 대학 캠퍼스를 함께 공유하는 경희사이버대학교(KHCU)가, 해외 교류대학은 하버드 대학교, 케임브리지 대학교, 도쿄 대학 등을 비롯해 80여개국 540여개교(대한민국 대학들 중 최다)가 있다. 병설학교는 서울캠퍼스 교내에 경희유치원, 경희초등학교, 경희중학교, 경희여자중학교, 경희고등학교, 경희여자고등학교, 경희대 글로벌미래교육원 정규 학사과정 등이 있다. 부속병원으로는 경희의료원(의과병원, 치과병원, 한의과병원), 강동경희대학교병원(의과병원, 치과병원, 한의과병원), 김해시 경희의료원(확정), 김포시 경희의료원(예정), 김천시 경희대병원(예정) 등이 있으며, 교욱협력병원으로 경희의료원 교육협력 중앙병원이 있다. 경희대학교는 한의학, 의학, 치의학, 약학, 한약학, 간호학은 물론 생체의공학, 약과학, 한방재료공학, 스포츠의학, 의료경영학 등 의약학 관련에 생물학, 유전생명공학, 식품생명공학, 식품영양학, 한방생명공학, 식물·환경신소재공학, 원예생명공학 등 바이오 전공을 모두 보유한 세계 유일의 대학이다. 또한 경희대학교는 신흥무관학교를 계승한 정통 민족대학으로서 '무관학교'의 전통을 이어받아 대한민국에서 최초로 체육대학을 만들었으며, 민족의학인 한의학과 민족무예인 태권도를 세계 최고의 수준으로 육성시켰다. 유엔(UN)의 지원으로 대한민국에서 최초로 시작된 호텔경영학(H.M)의 명성도 높다. 재단명은 경희학원이다."
5,민속박물관,종로구,박물관,1,4,서울 종로구 세종로 1-1,https://search4.kakaocdn.net/argon/130x130_85_c/51mmCGnHfyY,"국립민속박물관(國立民俗博物館, National Folk Museum of Korea)은 한민족과 세계 각국의 생활양식·풍속 및 관습과 이에 사용된 도구 및 자료의 수집·보존·조사·연구·전시·교육 및 교류에 관한 사무를 관장하는 대한민국 문화체육관광부의 소속기관이다. 1992년 10월 30일 발족하였으며, 서울특별시 종로구 삼청로 37에 위치하고 있다. 관장은 고위공무원단 나등급에 속하는 학예연구관으로 보한다.

"
6,부엉이박물관,종로구,박물관,1,4,서울 종로구 삼청동 27-2,https://search2.kakaocdn.net/argon/130x130_85_c/9MDwMTYfTlN,"부엉이 박물관은 대한민국 서울특별시 종로구 삼청동에 자리한 박물관이다. 삼청동 감사원 언덕에서 도로를 따라 계속 내려 오면 박물관에 닿을 수 있다.
부엉이 박물관은 부엉이를 주제로 한 전 세계의 공예품, 회화 작품, 우표, 생활용품, 액세서리 등 4,000여 점이 넘는 작품을 전시하고 있다. 상투메프린시페의 부엉이 우표, 홍콩의 부엉이 밥통, 핀란드의 부엉이 조각 등 중국, 미국, 체코, 폴란드 등의 80여 개국의 많은 작품이 즐비하다.
박물관 관장님은 ""부엉이 엄마""라는 별명으로 불리며 항시 방문객을 맞는다. 현재 부엉이박물관의 개관일은 목, 금, 토, 일요일이며 무료로 음료를 제공한다. 최근 종로구청의 박물관 요금 개선사업으로 부엉이박물관과 일대 박물관을 15000원에 구입하여 관람할 수 있기도 하다."
7,북촌생활사박물관,종로구,박물관,1,4,서울 종로구 삼청동 35-177,https://search4.kakaocdn.net/argon/130x130_85_c/C0irhUfG61Z,대한민국에 있는 사립박물관과 미술관 목록이다.
8,삼성출판박물관,종로구,박물관,1,4,서울 종로구 구기동 126-4,https://search4.kakaocdn.net/argon/130x130_85_c/8ZzJZCMbkjr,"삼성출판박물관(三省出版博物館, Samseong Museum of Publishing)은 서울 종로구 구기동에 있는 박물관이다. 1990년 6월 29일에 개관하였으며 삼성출판사에서 운영한다.
한국의 옛 전적 활자, 인쇄기기, 문방사우 등의 출판 관련 자료들이 소장되어 있어 대한민국 출판 인쇄 문화 1천3백년의 흐름을 한눈에 볼 수 있다. 전시장은 상설전시장과 특별전시장으로 나누어 상설전시장에는 활자 문화의 발달사를 쉽게 알 수 있도록 연도별로 전시했다. 훈민정음 언해본, 금속활자본 남명천화상송증도기 등의 유물들이 있다."
9,상명대학교박물관,종로구,박물관,1,4,서울 종로구 평창동 577-7,https://search2.kakaocdn.net/argon/130x130_85_c/2woehd4hwhD,"상명대학교(祥明大學校, Sangmyung University)는 대한민국의 사립 종합대학교이다. 서울특별시에 위치한 서울캠퍼스와 충청남도 천안시에 위치한 2캠퍼스로 구성되어있다.  1937년 상명여자고등기예학원 설립을 시작으로 1965년 상명여자사범대학이 개교하였다. 이후 1985년에 천안캠퍼스를 개설, 1987년에 종합대학으로 승격하여 상명여자대학교로 교명을 변경했고, 1996년에 남녀 공학으로 전환하며 상명대학교로 교명을 변경하였다.
상명대학교에는 총 10개의 단과대학이 있다. 서울캠퍼스에 인문사회과학대학 · 사범대학 · 경영경제대학 · 융합공과대학 · 예술문화대학, 2캠퍼스에 디자인대학 · 예술대학 · 글로벌인문학부대학 · 융합기술대학 · 공과대학이 있다. 대학원은 일반대학원 · 교육대학원 · 복지상담대학원 · 경영대학원 · 문화기술대학원 · 예술디자인대학원이 있다. 양 캠퍼스는 각각 인문사회∙과학과 예술∙공학계열 학제로 구성되어 있다. 약칭으로 Sangmyung University의 이니셜인 SMU를 사용한다. 2017년부터 서울캠퍼스와 천안캠퍼스(現 제2캠퍼스)가 법적으로 이원화 캠퍼스로 운영되고 있다.

"
10,세계장신구박물관,종로구,박물관,1,4,서울 종로구 화동 75-3,https://search4.kakaocdn.net/argon/130x130_85_c/K1vN7iLLSGb,"세계 장신구 박물관(World Jewellery Museum)은 서울 종로구 화동에 위치한 장신구 박물관이다. 인근에 서울교육박물관, 국립민속박물관, 가회민화박물관 등이 위치한다. 아프리카, 아시아, 유럽, 라틴아메리카를 아우르는 수많은 국가의 장신구를 소장하고 있다.
콜롬비아의 고대 장신구와 수단에 거주하는 한 부족의 상아 장신구, 에티오피아의 십자가 장신구 콜렉션, 중국의 소수민족이자 가장 다양한 장신구로 유명한 묘족의 은 장신구를 비롯해 모로코, 캄보디아, 몽골, 에리트레아, 인도, 벨기에 등 세계 각국의 전시물이 있다.
상설전시는 1층에서 열리며 특별 전시회는 2층에서 열린다. 2008년 7월부터 10월까지는 2008 베이징올림픽을 기념해 중국 장신구 특별전이 열렸다. 2019년 3월부터 예약제로 운영되고 있다."
12,쉼박물관,종로구,박물관,1,4,서울 종로구 홍지동 36-20,https://search2.kakaocdn.net/argon/130x130_85_c/7gejL6z2ANq,대한민국에 있는 사립박물관과 미술관 목록이다.
